DealID,Date,Symbol,Volume,Price,Profit,Commission,Swap,Comment
43540131,2025-10-08 03:42:28,XAUUSD-ECNc,0.01,3975.85,-3.09,-0.03,0.0,[sl 3975.93]
43540976,2025-10-08 03:42:55,XAUUSD-ECNc,0.01,3975.23,-3.17,-0.03,0.0,[sl 3975.35]
43570968,2025-10-08 04:09:51,XAUUSD-ECNc,0.01,3982.42,4.53,-0.03,0.0,[tp 3982.40]
43573168,2025-10-08 04:11:38,XAUUSD-ECNc,0.01,3983.27,4.71,-0.03,0.0,[tp 3983.26]
43577943,2025-10-08 04:14:25,XAUUSD-ECNc,0.01,3981.91,-3.19,-0.03,0.0,[sl 3981.92]
43595399,2025-10-08 04:42:56,XAUUSD-ECNc,0.01,3986.26,4.59,-0.03,0.0,[tp 3986.16]
43596717,2025-10-08 04:43:20,XAUUSD-ECNc,0.01,3986.79,4.43,-0.03,0.0,[tp 3986.82]
43602500,2025-10-08 04:50:24,XAUUSD-ECNc,0.01,3983.28,-3.17,-0.03,0.0,[sl 3983.45]
43602757,2025-10-08 04:50:27,XAUUSD-ECNc,0.01,3982.92,-3.07,-0.03,0.0,[sl 3983.04]
43609843,2025-10-08 04:58:40,XAUUSD-ECNc,0.01,3981.68,-3.02,-0.03,0.0,[sl 3981.72]
43611594,2025-10-08 04:59:50,XAUUSD-ECNc,0.01,3980.75,-3.06,-0.03,0.0,[sl 3980.81]
43615336,2025-10-08 05:00:27,XAUUSD-ECNc,0.01,3979.01,-2.95,-0.03,0.0,[sl 3978.98]
43632109,2025-10-08 05:09:58,XAUUSD-ECNc,0.01,3977.63,-2.99,-0.03,0.0,[sl 3977.63]
43650847,2025-10-08 05:30:57,XAUUSD-ECNc,0.01,3979.47,-3.26,-0.03,0.0,[sl 3979.65]
43671141,2025-10-08 06:14:48,GBPUSD-ECNc,0.1,1.34257,-4.8,-0.3,0.0,[sl 1.34255]
43671142,2025-10-08 06:14:48,GBPUSD-ECNc,0.1,1.34257,-5.0,-0.3,0.0,[sl 1.34256]
43677778,2025-10-08 06:36:34,GBPUSD-ECNc,0.1,1.34208,-4.8,-0.3,0.0,[sl 1.34207]
43677964,2025-10-08 06:38:51,GBPUSD-ECNc,0.1,1.34192,-5.0,-0.3,0.0,[sl 1.34192]
43679589,2025-10-08 06:43:45,GBPUSD-ECNc,0.1,1.34161,-5.1,-0.3,0.0,[sl 1.34162]
43691756,2025-10-08 07:44:53,GBPUSD-ECNc,0.1,1.34256,9.1,-0.3,0.0,[tp 1.34255]
43695179,2025-10-08 07:48:30,XAUUSD-ECNc,0.01,3985.9,4.62,-0.03,0.0,[tp 3985.91]
43696301,2025-10-08 07:52:31,XAUUSD-ECNc,0.01,3986.02,4.34,-0.03,0.0,[tp 3986.00]
43698014,2025-10-08 08:01:03,GBPUSD-ECNc,0.1,1.34169,-9.0,-0.3,-0.19,[sl 1.34209]
43698956,2025-10-08 08:44:50,GBPUSD-ECNc,0.1,1.34254,6.9,-0.3,-0.19,[tp 1.34275]
43699792,2025-10-08 09:01:48,XAUUSD-ECNc,0.01,3983.43,-3.06,-0.03,-0.49,[sl 3983.49]
43710963,2025-10-08 09:11:44,XAUUSD-ECNc,0.01,3989.03,4.54,-0.03,0.0,[tp 3988.99]
43713508,2025-10-08 09:15:40,XAUUSD-ECNc,0.01,3989.79,4.49,-0.03,-0.49,[tp 3989.80]
43767461,2025-10-08 10:47:54,XAUUSD-ECNc,0.01,3993.55,4.74,-0.03,0.0,[tp 3993.31]
43771821,2025-10-08 10:48:43,XAUUSD-ECNc,0.01,3994.81,4.49,-0.03,0.0,[tp 3994.79]
43792644,2025-10-08 11:06:07,EURUSD-ECNc,0.1,1.16469,-30.2,-0.3,-0.89,[sl 1.16469]
43795004,2025-10-08 11:11:17,EURUSD-ECNc,0.1,1.16464,-30.0,-0.3,-0.89,[sl 1.16464]
43807302,2025-10-08 11:27:36,XAUUSD-ECNc,0.01,3998.91,4.48,-0.03,0.0,[tp 3998.92]
43810332,2025-10-08 11:30:16,XAUUSD-ECNc,0.01,3995.72,-3.16,-0.03,0.0,[sl 3995.88]
43819898,2025-10-08 11:30:27,XAUUSD-ECNc,0.01,3991.73,-4.35,-0.03,0.0,[sl 3993.02]
43856736,2025-10-08 11:41:55,XAUUSD-ECNc,0.01,3996.48,5.01,-0.03,0.0,[tp 3996.34]
43879172,2025-10-08 11:55:41,XAUUSD-ECNc,0.01,3993.71,-2.79,-0.03,0.0,[sl 3993.50]
43888718,2025-10-08 12:00:01,EURUSD-ECNc,0.1,1.16438,-4.5,-0.3,0.0,[sl 1.16433]
43890194,2025-10-08 12:00:05,EURUSD-ECNc,0.1,1.16398,-7.0,-0.3,0.0,[sl 1.16418]
43893353,2025-10-08 12:00:40,XAUUSD-ECNc,0.01,3990.33,-3.29,-0.03,0.0,[sl 3990.52]
43895212,2025-10-08 12:00:44,XAUUSD-ECNc,0.01,3989.35,-3.52,-0.03,0.0,[sl 3989.90]
43908091,2025-10-08 12:04:07,XAUUSD-ECNc,0.01,3987.69,-3.24,-0.03,0.0,[sl 3987.80]
43960729,2025-10-08 12:25:39,EURUSD-ECNc,0.1,1.16356,-5.0,-0.3,0.0,[sl 1.16356]
43962154,2025-10-08 12:26:48,EURUSD-ECNc,0.1,1.16339,-5.1,-0.3,0.0,[sl 1.16340]
43977114,2025-10-08 12:27:21,EURUSD-ECNc,0.1,1.16303,-5.2,-0.3,0.0,[sl 1.16306]
43994627,2025-10-08 12:39:04,XAUUSD-ECNc,0.01,3991.96,-3.64,-0.03,0.0,[sl 3992.67]
43998588,2025-10-08 12:39:11,XAUUSD-ECNc,0.01,3991.17,-3.26,-0.03,0.0,[sl 3991.35]
44018759,2025-10-08 12:51:53,XAUUSD-ECNc,0.01,3997.27,4.8100000000000005,-0.03,0.0,[tp 3997.31]
44023394,2025-10-08 12:54:57,XAUUSD-ECNc,0.01,3998.31,4.5600000000000005,-0.03,0.0,[tp 3998.25]
44038772,2025-10-08 13:00:31,EURUSD-ECNc,0.1,1.16234,-5.7,-0.3,0.0,[sl 1.16240]
44039325,2025-10-08 13:00:36,EURUSD-ECNc,0.1,1.16216,-6.2,-0.3,0.0,[sl 1.16228]
44041621,2025-10-08 13:00:54,XAUUSD-ECNc,0.01,3996.1,-3.15,-0.03,0.0,[sl 3996.25]
44061439,2025-10-08 13:10:38,XAUUSD-ECNc,0.01,4000.96,4.68,-0.03,0.0,[tp 4000.87]
44065905,2025-10-08 13:11:29,XAUUSD-ECNc,0.01,4001.98,4.39,-0.03,0.0,[tp 4002.04]
44079719,2025-10-08 13:15:19,XAUUSD-ECNc,0.01,4005.64,4.57,-0.03,0.0,[tp 4005.60]
44085634,2025-10-08 13:17:53,EURUSD-ECNc,0.1,1.16179,-5.2,-0.3,0.0,[sl 1.16182]
44086118,2025-10-08 13:18:10,XAUUSD-ECNc,0.01,4002.17,-3.1,-0.03,0.0,[sl 4002.19]
44086467,2025-10-08 13:18:19,AUDUSD-ECNc,0.1,0.6558,-30.7,-0.3,-0.17,[sl 0.65587]
44086468,2025-10-08 13:18:19,AUDUSD-ECNc,0.1,0.6558,-30.6,-0.3,-0.17,[sl 0.65586]
44088183,2025-10-08 13:20:05,EURUSD-ECNc,0.1,1.16171,-4.8,-0.3,0.0,[sl 1.16171]
44108785,2025-10-08 13:48:46,EURUSD-ECNc,0.1,1.16265,8.7,-0.3,0.0,[tp 1.16267]
44109137,2025-10-08 13:49:55,XAUUSD-ECNc,0.01,4007.61,4.8100000000000005,-0.03,0.0,[tp 4007.25]
44114299,2025-10-08 13:50:35,XAUUSD-ECNc,0.01,4008.73,4.51,-0.03,0.0,[tp 4008.72]
44139919,2025-10-08 14:05:32,XAUUSD-ECNc,0.01,4013.72,4.75,-0.03,0.0,[tp 4013.50]
44141830,2025-10-08 14:06:14,EURUSD-ECNc,0.1,1.16221,-4.5,-0.3,0.0,[sl 1.16219]
44142457,2025-10-08 14:06:44,XAUUSD-ECNc,0.01,4013.98,4.51,-0.03,0.0,[tp 4013.97]
44148323,2025-10-08 14:11:21,XAUUSD-ECNc,0.05,4012.3,-10.3,-0.15,0.0,[sl 4012.36]
44149846,2025-10-08 14:11:47,XAUUSD-ECNc,0.05,4011.06,-11.4,-0.15,0.0,[sl 4011.37]
44156899,2025-10-08 14:16:01,EURUSD-ECNc,0.1,1.16184,-5.0,-0.3,0.0,[sl 1.16184]
44157122,2025-10-08 14:16:17,XAUUSD-ECNc,0.05,4011.54,-10.1,-0.15,0.0,[sl 4011.57]
44162208,2025-10-08 14:23:18,XAUUSD-ECNc,0.05,4010.45,-10.05,-0.15,0.0,[sl 4010.46]
44174587,2025-10-08 14:29:00,EURUSD-ECNc,0.1,1.16211,1.9,-0.3,0.0,
44174597,2025-10-08 14:29:02,AUDUSD-ECNc,0.1,0.65631,3.6,-0.3,0.0,
44174609,2025-10-08 14:29:06,AUDUSD-ECNc,0.1,0.6563,4.0,-0.3,0.0,
44174626,2025-10-08 14:29:12,GBPUSD-ECNc,0.1,1.33936,-38.4,-0.3,0.0,
44174634,2025-10-08 14:29:13,GBPUSD-ECNc,0.1,1.33933,-43.6,-0.3,0.0,
44197715,2025-10-08 14:50:34,XAUUSD-ECNc,0.05,4016.51,22.25,-0.15,0.0,[tp 4016.50]
44199906,2025-10-08 14:51:53,XAUUSD-ECNc,0.05,4014.17,-11.25,-0.15,0.0,[sl 4014.28]
44207833,2025-10-08 14:56:18,XAUUSD-ECNc,0.05,4012.22,-10.3,-0.15,0.0,[sl 4012.27]
44209045,2025-10-08 14:56:29,XAUUSD-ECNc,0.05,4011.66,-9.65,-0.15,0.0,[sl 4011.65]
44209655,2025-10-08 14:56:36,EURUSD-ECNc,0.1,1.16236,3.2,-0.3,0.0,
